CVI Map File

Image file path:        c:\FlexiTester.OK\plugins\automat.dll
Timestamp:              6067110A (April 02 2021 12:41:46 GMT)
Preferred base address: 10000000

Rva+Base      Symbol                                        Module
10001102      _EnterCriticalSection@4                       kernel32.lib
10001108      _GetUserDefaultLCID@0                         kernel32.lib
1000110E      _InitializeCriticalSection@4                  kernel32.lib
10001114      _DeleteCriticalSection@4                      kernel32.lib
1000111A      _FreeLibrary@4                                kernel32.lib
10001120      _GetVersionExA@4                              kernel32.lib
10001126      _GetModuleFileNameA@12                        kernel32.lib
1000112C      _GetModuleHandleA@4                           kernel32.lib
10001132      _InterlockedExchange@8                        kernel32.lib
10001138      _SetLastError@4                               kernel32.lib
1000113E      _GetLastError@0                               kernel32.lib
10001144      _GetWindowsDirectoryA@8                       kernel32.lib
1000114A      _GetComputerNameA@8                           kernel32.lib
10001156      _GlobalMemoryStatus@4                         kernel32.lib
1000117A      _GetProcAddress@8                             kernel32.lib
10001180      _LoadLibraryA@4                               kernel32.lib
1000118C      _CloseHandle@4                                kernel32.lib
10001192      _ReleaseMutex@4                               kernel32.lib
10001198      _CreateEventA@16                              kernel32.lib
1000119E      _WaitForSingleObject@8                        kernel32.lib
100011A4      _CreateMutexA@12                              kernel32.lib
100011AA      _ExitThread@4                                 kernel32.lib
100011B0      _GetCurrentProcessId@0                        kernel32.lib
100011B6      _GetDiskFreeSpaceA@20                         kernel32.lib
100011BC      _Sleep@4                                      kernel32.lib
100011C2      _LocalFree@4                                  kernel32.lib
100011C8      _TerminateThread@8                            kernel32.lib
100011CE      _GetExitCodeThread@8                          kernel32.lib
100011D4      _GetSystemDirectoryA@8                        kernel32.lib
100011DA      _CreateThread@24                              kernel32.lib
100011E0      _GetLocalTime@4                               kernel32.lib
100011E6      _FormatMessageA@28                            kernel32.lib
100011F0      _GetDIBits@28                                 gdi32.lib
100011F6      _DeleteDC@4                                   gdi32.lib
100011FC      _DeleteObject@4                               gdi32.lib
10001210      __UP_GetScaledPanelDisplayBitmap@36           cvi.lib
10001216      _GetFileDate@16                               cvi.lib
1000121C      _ProcessDrawEvents@0                          cvi.lib
10001222      _GetFileInfo@8                                cvi.lib
10001228      _isdigit                                      cvi.lib
1000122E      _ProcessSystemEvents@0                        cvi.lib
10001234      _ProcessTCPEvents@0                           cvi.lib
1000123A      _GetFirstFile@32                              cvi.lib
10001240      _isspace                                      cvi.lib
10001246      _PromptPopup@16                               cvi.lib
1000124C      _QueueUserEvent@12                            cvi.lib
10001252      _QuitUserInterface@4                          cvi.lib
10001258      _localtime                                    cvi.lib
1000125E      _malloc                                       cvi.lib
10001264      __UP_CVIAbsoluteTimeFromLocalCalendar@36      cvi.lib
1000126A      _ReadLine@12                                  cvi.lib
10001270      _memchr                                       cvi.lib
10001276      _memcmp                                       cvi.lib
1000127C      __UP_CVIAbsoluteTimeFromTimeUnit@20           cvi.lib
10001282      _memcpy                                       cvi.lib
10001288      _memmove                                      cvi.lib
1000128E      _RectBottom@16                                cvi.lib
10001294      _memset                                       cvi.lib
1000129A      __UP_CVIAbsoluteTimeToLocalCalendar@48        cvi.lib
100012A0      _mktime                                       cvi.lib
100012A6      _GetImageBits@40                              cvi.lib
100012AC      _RectContainsPoint@24                         cvi.lib
100012B2      _GetImageInfo@24                              cvi.lib
100012B8      __UP_CVIAbsoluteTimeToTimeUnit@32             cvi.lib
100012BE      _pow                                          cvi.lib
100012C4      _printf                                       cvi.lib
100012CA      _RectGrow@12                                  cvi.lib
100012D0      _qsort                                        cvi.lib
100012D6      _realloc                                      cvi.lib
100012DC      _remove                                       cvi.lib
100012E2      _RectRight@16                                 cvi.lib
100012E8      _setlocale                                    cvi.lib
100012EE      _GetLabelFromIndex@16                         cvi.lib
100012F4      _snprintf                                     cvi.lib
100012FA      _sprintf                                      cvi.lib
10001300      __UP_CVI_CloseFile@4                          cvi.lib
10001306      _sscanf                                       cvi.lib
1000130C      _strcat                                       cvi.lib
10001312      _strchr                                       cvi.lib
10001318      _strcmp                                       cvi.lib
1000131E      __UP_GetTextDisplaySize@16                    cvi.lib
10001324      __UP_CVI_GetFileSize@8                        cvi.lib
1000132A      _strcpy                                       cvi.lib
10001330      __UP_GetTimerTickData@8                       cvi.lib
10001336      __UP_CVI_GetFileTime@16                       cvi.lib
1000133C      _strftime                                     cvi.lib
10001342      _stricmp                                      cvi.lib
10001348      _strlen                                       cvi.lib
1000134E      __UP_CVI_OpenFile@16                          cvi.lib
10001354      _strncat                                      cvi.lib
1000135A      _strncmp                                      cvi.lib
10001360      _strncpy                                      cvi.lib
10001366      _GetModuleDir@8                               cvi.lib
1000136C      _GetMonitorAttribute@12                       cvi.lib
10001372      __UP_GetTreeItem@32                           cvi.lib
10001378      _strstr                                       cvi.lib
1000137E      _GetMonitorFromPoint@12                       cvi.lib
10001384      _strtod                                       cvi.lib
1000138A      _strtol                                       cvi.lib
10001390      _RemovePopup@4                                cvi.lib
10001396      _RenameFile@8                                 cvi.lib
1000139C      _strtoul                                      cvi.lib
100013A2      _GetNextFile@4                                cvi.lib
100013A8      __UP_GetTreeItemNumChildren@16                cvi.lib
100013AE      _ReplaceListItem                              cvi.lib
100013B4      _CloseCVIRTDll@4                              cvi.lib
100013BA      __UP_GetTreeItemParent@16                     cvi.lib
100013C0      _time                                         cvi.lib
100013C6      _tmpfile                                      cvi.lib
100013CC      __UP_GetTreeItemPathLength@20                 cvi.lib
100013D2      _CmtDiscardLock@4                             cvi.lib
100013D8      _toupper                                      cvi.lib
100013DE      _GetNumListItems@12                           cvi.lib
100013E4      _vfprintf                                     cvi.lib
100013EA      _CmtDiscardTSV@4                              cvi.lib
100013F0      __UP_GetUserEvent@12                          cvi.lib
100013F6      _CmtDiscardThreadLocalVar@4                   cvi.lib
100013FC      __UP_GetValueLengthFromIndex@16               cvi.lib
10001402      _vsprintf                                     cvi.lib
10001408      _CmtGetCurrentThreadID@0                      cvi.lib
1000140E      _RunUserInterface@0                           cvi.lib
10001414      _CmtGetLock@4                                 cvi.lib
1000141A      _GetPanelAttribute@12                         cvi.lib
10001420      __UP_InsertTreeColumn@16                      cvi.lib
10001426      __UP_InstallCtrlCallback@16                   cvi.lib
1000142C      _SetActiveCtrl@8                              cvi.lib
10001432      __UP_CmtDiscardLock@4                         cvi.lib
10001438      _CmtGetTSVPtr@8                               cvi.lib
1000143E      _CmtGetThreadLocalVar@8                       cvi.lib
10001444      _SetActivePanel@4                             cvi.lib
1000144A      __UP_CmtDiscardTSV@4                          cvi.lib
10001450      __UP_CmtDiscardThreadLocalVar@4               cvi.lib
10001456      __UP_InstallPanelCallback@12                  cvi.lib
1000145C      _GetProjectDir@4                              cvi.lib
10001462      _SetActiveTreeItem@16                         cvi.lib
10001468      _CmtNewLock@12                                cvi.lib
1000146E      _CmtNewTSV@8                                  cvi.lib
10001474      _CmtNewThreadLocalVar@20                      cvi.lib
1000147A      _GetRelativeMouseState@28                     cvi.lib
10001480      __UP_CmtGetLock@4                             cvi.lib
10001486      _GetScaledCtrlDisplayBitmap@24                cvi.lib
1000148C      _GetScaledPanelDisplayBitmap@36               cvi.lib
10001492      __UP_LoadPanel@12                             cvi.lib
10001498      _CmtReleaseLock@4                             cvi.lib
1000149E      _SetBreakOnLibraryErrors@4                    cvi.lib
100014A4      __UP_LoadPanelEx@16                           cvi.lib
100014AA      _CmtReleaseTSVPtr@4                           cvi.lib
100014B0      __UP_MakeDateTime@32                          cvi.lib
100014B6      __UP_CmtGetTSVPtr@8                           cvi.lib
100014BC      __UP_MakeDir@4                                cvi.lib
100014C2      __UP_CmtGetThreadLocalVar@8                   cvi.lib
100014C8      _CmtScheduleThreadPoolFunction@16             cvi.lib
100014CE      _SetColumnWidthToWidestCellContents@12        cvi.lib
100014D4      __UP_MessagePopup@8                           cvi.lib
100014DA      _CmtSetTSV@8                                  cvi.lib
100014E0      _SetCtrlAttribute                             cvi.lib
100014E6      __UP_CmtNewLock@12                            cvi.lib
100014EC      _SetCtrlIndex@12                              cvi.lib
100014F2      __UP_CmtNewTSV@8                              cvi.lib
100014F8      _SetCtrlVal                                   cvi.lib
100014FE      __UP_CmtNewThreadLocalVar@20                  cvi.lib
10001504      _SetEnableResourceTracking@4                  cvi.lib
1000150A      _GetSystemAttribute@8                         cvi.lib
10001510      __UP_CmtReleaseLock@4                         cvi.lib
10001516      __UP_CmtReleaseTSVPtr@4                       cvi.lib
1000151C      __UP_CmtScheduleThreadPoolFunction@16         cvi.lib
10001522      _SetImageBits@40                              cvi.lib
10001528      __UP_NewBitmap@32                             cvi.lib
1000152E      __UP_NewCtrl@20                               cvi.lib
10001534      __UP_CmtSetTSV@8                              cvi.lib
1000153A      __UP_NewCtrlMenuItem@24                       cvi.lib
10001540      _SetPanelAttribute                            cvi.lib
10001546      __UP_NewPanel@24                              cvi.lib
1000154C      _SetPanelPos@12                               cvi.lib
10001552      _CopyBytes@20                                 cvi.lib
10001558      _CopyString@20                                cvi.lib
1000155E      _CreateMetaFont@28                            cvi.lib
10001564      __UP_PointPinnedToRect@28                     cvi.lib
1000156A      __UP_isdigit                                  cvi.lib
10001570      __UP_PostDeferredCall@8                       cvi.lib
10001576      _GetTextDisplaySize@16                        cvi.lib
1000157C      _CurrThreadId@0                               cvi.lib
10001582      __UP_PostDeferredCallToThread@12              cvi.lib
10001588      __UP_isspace                                  cvi.lib
1000158E      _GetTimerTickData@8                           cvi.lib
10001594      __UP_localtime                                cvi.lib
1000159A      __UP_ProcessTCPEvents@0                       cvi.lib
100015A0      __UP_PromptPopup@16                           cvi.lib
100015A6      __UP_memchr                                   cvi.lib
100015AC      __UP_memcmp                                   cvi.lib
100015B2      _GetTreeColumnAttribute@20                    cvi.lib
100015B8      __UP_memcpy                                   cvi.lib
100015BE      __UP_memmove                                  cvi.lib
100015C4      __UP_CopyBytes@20                             cvi.lib
100015CA      _GetTreeItem@32                               cvi.lib
100015D0      _Delay@8                                      cvi.lib
100015D6      __UP_memset                                   cvi.lib
100015DC      __UP_CopyString@20                            cvi.lib
100015E2      _GetTreeItemAttribute@20                      cvi.lib
100015E8      __UP_mktime                                   cvi.lib
100015EE      __UP_CreateMetaFont@28                        cvi.lib
100015F4      __UP_pow                                      cvi.lib
100015FA      __UP_ReadLine@12                              cvi.lib
10001600      __UP_qsort                                    cvi.lib
10001606      __UP_remove                                   cvi.lib
1000160C      _GetTreeItemNumChildren@16                    cvi.lib
10001612      _DeleteListItem@16                            cvi.lib
10001618      __UP_RectGrow@12                              cvi.lib
1000161E      _GetTreeItemParent@16                         cvi.lib
10001624      _GetTreeItemPath@20                           cvi.lib
1000162A      _GetTreeItemPathLength@20                     cvi.lib
10001630      __UP_strcat                                   cvi.lib
10001636      __UP_strchr                                   cvi.lib
1000163C      _SetTreeCellAttribute                         cvi.lib
10001642      __UP_strcmp                                   cvi.lib
10001648      __UP_strcpy                                   cvi.lib
1000164E      _SetTreeColumnAttribute                       cvi.lib
10001654      __UP_strftime                                 cvi.lib
1000165A      _SetTreeItemAttribute                         cvi.lib
10001660      _GetUILErrorString@4                          cvi.lib
10001666      __UP_strlen                                   cvi.lib
1000166C      __UP_strncat                                  cvi.lib
10001672      __UP_strncmp                                  cvi.lib
10001678      _GetUserEvent@12                              cvi.lib
1000167E      __UP_strncpy                                  cvi.lib
10001684      _SetWaitCursor@4                              cvi.lib
1000168A      _DisableBreakOnLibraryErrors@0                cvi.lib
10001690      _GetValueFromIndex@16                         cvi.lib
10001696      __UP_RenameFile@8                             cvi.lib
1000169C      __UP_strstr                                   cvi.lib
100016A2      _GetValueLengthFromIndex@16                   cvi.lib
100016A8      __UP_strtod                                   cvi.lib
100016AE      _GetWaitCursorState@0                         cvi.lib
100016B4      __UP_strtol                                   cvi.lib
100016BA      __UP_strtoul                                  cvi.lib
100016C0      _HidePanel@4                                  cvi.lib
100016C6      _DiscardBitmap@4                              cvi.lib
100016CC      _InStandaloneExecutable@0                     cvi.lib
100016D2      _DiscardCtrl@8                                cvi.lib
100016D8      __UP_time                                     cvi.lib
100016DE      _SplitPath@16                                 cvi.lib
100016E4      __UP_tmpfile                                  cvi.lib
100016EA      _InitCVIRTDll@44                              cvi.lib
100016F0      __UP_toupper                                  cvi.lib
100016F6      _InsertListItem                               cvi.lib
100016FC      _DiscardPanel@4                               cvi.lib
10001702      __UP_FindPattern@24                           cvi.lib
10001708      _DisplayPanel@4                               cvi.lib
1000170E      _Timer@0                                      cvi.lib
10001714      _InsertTreeColumn@16                          cvi.lib
1000171A      _InsertTreeItem                               cvi.lib
10001720      _InstallCtrlCallback@16                       cvi.lib
10001726      __UP_SetImageBits@40                          cvi.lib
1000172C      __UP_Get3dBorderColors@20                     cvi.lib
10001732      _EnableBreakOnLibraryErrors@0                 cvi.lib
10001738      _InstallPanelCallback@12                      cvi.lib
1000173E      _InstallPopup@4                               cvi.lib
10001744      __UP_GetActiveTreeItem@12                     cvi.lib
1000174A      ___CVI_Resource_Acquire                       cvi.lib
10001750      ___CVI_Resource_Release@4                     cvi.lib
10001756      __UP_GetBitmapData@32                         cvi.lib
1000175C      __UP_SplitPath@16                             cvi.lib
10001762      _FindPattern@24                               cvi.lib
10001768      _LoadPanel@12                                 cvi.lib
1000176E      __UP_GetBitmapInfo@16                         cvi.lib
10001774      _Fmt                                          cvi.lib
1000177A      _LoadPanelEx@16                               cvi.lib
10001780      _WhichRuntimeSupportDll@0                     cvi.lib
10001786      _AddTreeImage@12                              cvi.lib
1000178C      _WriteLine@12                                 cvi.lib
10001792      _MakeColor@12                                 cvi.lib
10001798      _MakeDateTime@32                              cvi.lib
1000179E      _MakeDir@4                                    cvi.lib
100017A4      _MakePoint@8                                  cvi.lib
100017AA      _MakeRect@16                                  cvi.lib
100017B0      _Get3dBorderColors@20                         cvi.lib
100017B6      __UP_GetCtrlBoundingRect@24                   cvi.lib
100017BC      _MenuIsOpen                                   cvi.lib
100017C2      _MessagePopup@8                               cvi.lib
100017C8      _GetActivePanel@0                             cvi.lib
100017CE      __UP_GetCtrlIndex@12                          cvi.lib
100017D4      _CVIAbsoluteTimeFromLocalCalendar@36          cvi.lib
100017DA      _CVIAbsoluteTimeFromTimeUnit@20               cvi.lib
100017E0      _CVIAbsoluteTimeToLocalCalendar@48            cvi.lib
100017E6      _GetActiveTreeItem@12                         cvi.lib
100017EC      __UP_GetDateTimeElements@32                   cvi.lib
100017F2      _CVIAbsoluteTimeToTimeUnit@32                 cvi.lib
100017F8      __UP_GetDir@4                                 cvi.lib
100017FE      __UP_GetFileDate@16                           cvi.lib
10001804      __GetErrno                                    cvi.lib
1000180A      __UP_GetFileInfo@8                            cvi.lib
10001810      __GetFilesArray                               cvi.lib
10001816      __UP_GetFirstFile@32                          cvi.lib
1000181C      _CVIRTDllAbnormalExit@4                       cvi.lib
10001822      __UP_WriteLine@12                             cvi.lib
10001828      _GetBitmapData@32                             cvi.lib
1000182E      _GetBitmapInfo@16                             cvi.lib
10001834      __UP_GetImageBits@40                          cvi.lib
1000183A      __UP_GetImageInfo@24                          cvi.lib
10001840      _GetBreakOnLibraryErrors@0                    cvi.lib
10001846      _NewBitmap@32                                 cvi.lib
1000184C      _NewCtrl@20                                   cvi.lib
10001852      __UP_asctime                                  cvi.lib
10001858      _CVI_CloseFile@4                              cvi.lib
1000185E      _NewCtrlMenuItem@24                           cvi.lib
10001864      __UP_GetModuleDir@8                           cvi.lib
1000186A      __UP_atoi                                     cvi.lib
10001870      _NewCtrlMenuSeparator@12                      cvi.lib
10001876      _CVI_GetFileSize@8                            cvi.lib
1000187C      __UP_GetMonitorFromPoint@12                   cvi.lib
10001882      _CVI_GetFileTime@16                           cvi.lib
10001888      _NewPanel@24                                  cvi.lib
1000188E      __UP_GetNextFile@4                            cvi.lib
10001894      _CVI_OpenFile@16                              cvi.lib
1000189A      __UP_fclose                                   cvi.lib
100018A0      _abort                                        cvi.lib
100018A6      _abs                                          cvi.lib
100018AC      __UP_fgets                                    cvi.lib
100018B2      _asctime                                      cvi.lib
100018B8      _CVI__ismbblead                               cvi.lib
100018BE      __UP_fopen                                    cvi.lib
100018C4      __UP_GetNumListItems@12                       cvi.lib
100018CA      _CVI__mbsbtype                                cvi.lib
100018D0      __UP_fread                                    cvi.lib
100018D6      _atoi                                         cvi.lib
100018DC      _CVI__mbschr                                  cvi.lib
100018E2      __UP_fseek                                    cvi.lib
100018E8      _GetCtrlAttribute@16                          cvi.lib
100018EE      _calloc                                       cvi.lib
100018F4      __UP_ftell                                    cvi.lib
100018FA      _ceil                                         cvi.lib
10001900      _CVI__mbsdec                                  cvi.lib
10001906      __UP_fwrite                                   cvi.lib
1000190C      _GetCtrlBoundingRect@24                       cvi.lib
10001912      _CVI__mbsicmp                                 cvi.lib
10001918      _clock                                        cvi.lib
1000191E      _CVI__mbsinc                                  cvi.lib
10001924      __UPLibBreakpoint                             cvi.lib
1000192A      _CVI__mbslen                                  cvi.lib
10001930      _GetCtrlIndex@12                              cvi.lib
10001936      _CVI__mbsnbcmp                                cvi.lib
1000193C      __UPLibChkSize                                cvi.lib
10001942      _GetCtrlVal@12                                cvi.lib
10001948      _fabs                                         cvi.lib
1000194E      _CVI__mbsnbicmp                               cvi.lib
10001954      _fclose                                       cvi.lib
1000195A      _CVI__mbsrchr                                 cvi.lib
10001960      _CVI__mbsstr                                  cvi.lib
10001966      _GetCurrentPlatform@0                         cvi.lib
1000196C      __UPLibClearArgs                              cvi.lib
10001972      _fgets                                        cvi.lib
10001978      _floor                                        cvi.lib
1000197E      _fopen                                        cvi.lib
10001984      _fprintf                                      cvi.lib
1000198A      _CVI_inp@4                                    cvi.lib
10001990      _GetDateTimeElements@32                       cvi.lib
10001996      _fread                                        cvi.lib
1000199C      _PointPinnedToRect@28                         cvi.lib
100019A2      _free                                         cvi.lib
100019A8      _GetDir@4                                     cvi.lib
100019AE      __UP_GetProjectDir@4                          cvi.lib
100019B4      _PostDeferredCall@8                           cvi.lib
100019BA      _CVI_outp@8                                   cvi.lib
100019C0      _fseek                                        cvi.lib
100019C6      _PostDeferredCallToThread@12                  cvi.lib
100019CC      _ftell                                        cvi.lib
100019D2      _fwrite                                       cvi.lib
100019D8      __UP_GetRelativeMouseState@28                 cvi.lib
100019DE      __UP_GetScaledCtrlDisplayBitmap@24            cvi.lib
100019F0      _CVIDllMainStartupCode@12                     cdllstrt.obj
10001A80      ___IsDemo                                     demo.obj
10001A98      ___CVI_Startup_MessagePopup                   demo.obj
10001AE5      ___InstallDemoTimer                           demo.obj
10001F15      ___RemoveDemoTimer                            demo.obj
10001F60      _atexit                                       exitfunc.obj
10001FA1      _LW_atexit                                    exitfunc.obj
10001FAC      __UP_atexit                                   exitfunc.obj
10001FEE      __UP_LW_atexit                                exitfunc.obj
10002030      __ExecUserExitFuns                            exitfunc.obj
10002063      __PopUserExitFuns                             exitfunc.obj
10002093      _exit                                         exitfunc.obj
100020AB      __UserExitFunsTop                             exitfunc.obj
100020B1      __InitExitLib                                 exitfunc.obj
100020BD      __CloseExitLib                                exitfunc.obj
10002140      __fltused_                                    fltused.obj
10002141      __fltused                                     fltused.obj
10002142      __turboFloat                                  fltused.obj
10002150      _InitCVIRTE@4                                 initcls.obj
10002160      _InitCVIRTEEx@12                              initcls.obj
10002244      _CloseCVIRTE@0                                initcls.obj
10002280      ___ImageUsedInOldCVI                          linkage.obj
100023D2      ___CVI_Internal_Linkage_HModule               linkage.obj
10002400      _LinkedToCVIRT@0                              lnk2rt.obj
10002410      ___IsRuntimeDllStillLoaded                    rtedetch.obj
1000242A      _CVIRTEHasBeenDetached@0                      rtedetch.obj
10002510      ___CVI_SDK_MapViewOfFile                      sdkstubs.obj
10002603      ___CVI_SDK_UnmapViewOfFile                    sdkstubs.obj
10002642      ___CVI_SDK_CreateFileMapping                  sdkstubs.obj
10002694      ___CVI_SDK_GetCPInfo                          sdkstubs.obj
100026D7      ___CVI_SDK_GetACP                             sdkstubs.obj
10002712      ___CVI_SDK_ExitProcess                        sdkstubs.obj
10002760      __ftol                                        ftol.obj
10002790      __ftol64                                      ftol64.obj
100027C0      _CVI_Set387PrecisionToDouble                  setprec.obj
100027E0      __STOSB                                       stos.obj
10002811      __STOSD                                       stos.obj
1000287D      __FCOMPP@                                     stos.obj
1000289A      __FTEST0@                                     stos.obj
100028B9      __FTEST@                                      stos.obj
100028D1      __DTST87@                                     stos.obj
100028D5      __87TOPSW@                                    stos.obj
100028DB      __DBLTO87@                                    stos.obj
100028E6      __DBLINT87@                                   stos.obj
10002905      __DBLLNG87@                                   stos.obj
10002922      __FLTTO87@                                    stos.obj
10002929      __ULNGDBL@                                    stos.obj
10002935      __DBLULNG@                                    stos.obj
10002966      __status87                                    stos.obj
10002966      __statusfp                                    stos.obj
1000296C      __clear87                                     stos.obj
1000296C      __clearfp                                     stos.obj
10002975      __controlfp                                   stos.obj
10002975      __control87                                   stos.obj
100029A0      __mul64                                       mul64.obj
100029E0      __div64                                       div64.obj
10002A90      __divu64                                      divu64.obj
10002B00      __mod64                                       mod64.obj
10002BC0      __modu64                                      modu64.obj
10002C40      __shl64                                       shl64.obj
10002C70      __rol64                                       rol64.obj
10002CA0      __shr64                                       shr64.obj
10002CD0      __ror64                                       ror64.obj
10002D00      @__security_check_cookie@4                    secchk.obj
10002D10      __alloca_probe                                chkstk.obj
10002D10      __chkstk                                      chkstk.obj
10002D40      ___report_gsfailure                           gs_report.obj
10002E50      __crt_debugger_hook                           dbghook.obj
100030B6      _InitializeTsvPanelsWithLinkedCallbacksList      toolbox.obj
100030CF      _UninitializeTsvPanelsWithLinkedCallbacksList      toolbox.obj
100030E3      _GetPointerToTsvPanelsWithLinkedCallbacksList      toolbox.obj
1000310B      _ReleasePointerToTsvPanelsWithLinkedCallbacksList      toolbox.obj
1000311F      _SetTsvPanelsWithLinkedCallbacksList          toolbox.obj
10003137      _GetTsvPanelsWithLinkedCallbacksList          toolbox.obj
10003175      _InitializeMsgCBHandlers                      toolbox.obj
1000318E      _UninitializeMsgCBHandlers                    toolbox.obj
100031A2      _GetPointerToMsgCBHandlers                    toolbox.obj
100031CA      _ReleasePointerToMsgCBHandlers                toolbox.obj
100031DE      _SetMsgCBHandlers                             toolbox.obj
100031F6      _GetMsgCBHandlers                             toolbox.obj
10003234      _ToolboxInit@0                                toolbox.obj
100036A5      _CmbFirstByteOfChar                           toolbox.obj
100036E8      _CmbNumChars@4                                toolbox.obj
100036FE      _CmbStrEq@8                                   toolbox.obj
10003747      _CmbStrEqI@8                                  toolbox.obj
10003790      _CmbStrEqN@12                                 toolbox.obj
100037DD      _CmbStrEqNI@12                                toolbox.obj
1000382A      _CmbStrUpr@4                                  toolbox.obj
100038CA      _CmbStrLwr@4                                  toolbox.obj
1000396A      _CmbStrByteIs@12                              toolbox.obj
100039F8      _CmbStrLastChar@4                             toolbox.obj
10003A81      _StringEnd@4                                  toolbox.obj
10003A9C      _FP_Compare@16                                toolbox.obj
10003B07      _FP_EQ@16                                     toolbox.obj
10003C17      _FP_GT@16                                     toolbox.obj
10003E50      _FP_GE@16                                     toolbox.obj
10004089      _FP_LT@16                                     toolbox.obj
100040AA      _FP_LE@16                                     toolbox.obj
100040CB      _Pin@24                                       toolbox.obj
10004116      _Random@16                                    toolbox.obj
10004161      _SetRandomSeed@4                              toolbox.obj
100042FD      _PositiveInfinity@0                           toolbox.obj
10004314      _NegativeInfinity@0                           toolbox.obj
10004323      _NotANumber@0                                 toolbox.obj
1000433A      _IsNotANumber@8                               toolbox.obj
1000439A      _IsInfinity@8                                 toolbox.obj
1000442E      _IsFinite@8                                   toolbox.obj
100046A5      _ConvertArrayType@20                          toolbox.obj
10004B32      _DoAssert@16                                  toolbox.obj
10004BC2      _ShowHtmlHelp@12                              toolbox.obj
1000517A      _GetCVIBitmapFromHIcon@8                      toolbox.obj
100055B0      _NetworkVariablePopup@4                       toolbox.obj
10008059      _BinSearch@20                                 toolbox.obj
100081AF      _SwapBlock@12                                 toolbox.obj
100083C5      _DelayWithEventProcessing@8                   toolbox.obj
100083FF      _GetFileCLibTime@8                            toolbox.obj
10008643      _InternationalFileTime@12                     toolbox.obj
100086D3      _InternationalFileDate@12                     toolbox.obj
10008763      _InternationalTime@8                          toolbox.obj
100087A7      _InternationalDate@8                          toolbox.obj
100088E5      _StrDup@4                                     toolbox.obj
1000895C      _AppendString@12                              toolbox.obj
10008B8C      _AddStringPrefix@12                           toolbox.obj
10008D12      _AddStringQuotes@4                            toolbox.obj
10008D79      _StrDupWithoutSurrWhiteSpace@4                toolbox.obj
10008ED6      _SkipWhiteSpace@4                             toolbox.obj
10008F35      _SkipNonWhiteSpace@4                          toolbox.obj
10008FC8      _HasNonWhiteSpace@4                           toolbox.obj
10009029      _StringCopyMax@12                             toolbox.obj
1000918A      _StringInsert@12                              toolbox.obj
10009324      _StrICmp@8                                    toolbox.obj
1000933E      _StrNICmp@12                                  toolbox.obj
1000935C      _RemoveSurroundingWhiteSpace@4                toolbox.obj
10009485      _StrICmpWithoutSurrWhiteSpace@8               toolbox.obj
10009880      _SpliceCommaSeparatedList@12                  toolbox.obj
10009B58      _StrToInt@8                                   toolbox.obj
10009BF2      _StrToUInt@8                                  toolbox.obj
10009C53      _StrToLongLong@8                              toolbox.obj
10009D30      _StrToULongLong@8                             toolbox.obj
1000A11A      _BinStrToUInt@8                               toolbox.obj
1000A1E7      _UIntToBinStr@8                               toolbox.obj
1000A201      _BinStrToULongLong@8                          toolbox.obj
1000A30F      _ULongLongToBinStr@12                         toolbox.obj
1000A45B      _SetBOLE@4                                    toolbox.obj
1000A72E      _TransposeData@16                             toolbox.obj
1000AC53      _HeapSort@16                                  toolbox.obj
1000ACDC      _InsertionSort@16                             toolbox.obj
